method,classifier,top1,seed,retrieval,eval,n_refs,top_5,n_views
baseline,vit_base_patch16_224,0.4671,71397589,random,zero,64.0,47.94,
baseline,swin_base_patch4_window7_224,0.5881,71397589,random,zero,2.0,59.760000000000005,
baseline,swin_base_patch4_window7_224,0.5881,71397589,random,tpt,2.0,72.54333333333334,
baseline,resnet18,0.3839,71397589,random,zero,64.0,51.56333333333334,
baseline,swin_base_patch4_window7_224,0.5929666666666666,71397589,random,vanilla,2.0,74.29,
baseline,densenet121,0.42246666666666666,71397589,random,tpt,64.0,59.13666666666667,
baseline,densenet121,0.4167666666666667,71397589,random,zero,16.0,49.93,
baseline,densenet121,0.38626666666666665,71397589,random,zero,64.0,40.08,
baseline,densenet121,0.4071,71397589,random,vanilla,4.0,58.373333333333335,
baseline,resnet18,0.38076666666666664,71397589,random,tpt,16.0,50.973333333333336,
baseline,resnet18,0.37116666666666664,71397589,random,vanilla,8.0,53.50333333333334,
baseline,densenet121,0.4053333333333333,71397589,random,tpt,8.0,55.70666666666667,
baseline,resnet18,0.373,71397589,random,vanilla,16.0,53.946666666666665,
baseline,swin_base_patch4_window7_224,0.6131,71397589,random,zero,32.0,70.56666666666666,
baseline,densenet121,0.415,71397589,random,vanilla,16.0,59.650000000000006,
baseline,densenet121,0.3964,71397589,random,vanilla,2.0,57.35333333333333,
baseline,swin_base_patch4_window7_224,0.5977666666666667,71397589,random,vanilla,4.0,74.65666666666667,
baseline,swin_base_patch4_window7_224,0.5880333333333333,71397589,random,tpt,4.0,71.81666666666666,
baseline,resnet18,0.33623333333333333,265017005,random,vanilla,1.0,49.980000000000004,
baseline,densenet121,0.38626666666666665,265017005,random,vanilla,1.0,56.25333333333333,
baseline,resnet18,0.3694,71397589,random,zero,8.0,42.483333333333334,
baseline,swin_base_patch4_window7_224,0.5880333333333333,71397589,random,zero,4.0,59.73333333333334,
baseline,swin_base_patch4_window7_224,0.6095666666666667,71397589,random,vanilla,32.0,75.61,
baseline,densenet121,0.41773333333333335,71397589,random,tpt,32.0,58.269999999999996,
baseline,swin_base_patch4_window7_224,0.5923333333333334,71397589,random,zero,8.0,64.53333333333333,
baseline,resnet18,0.3627,71397589,random,zero,4.0,37.86333333333333,
baseline,dinov2_vitb14,0.6746666666666666,71397589,random,tpt,64.0,81.45666666666666,
baseline,ViT-B-16,0.6442333333333333,71397589,random,zero,64.0,65.32333333333334,
baseline,swin_base_patch4_window7_224,0.5921,71397589,random,tpt,8.0,71.28999999999999,
baseline,dinov2_vitb14,0.6746666666666666,71397589,random,zero,64.0,68.24333333333334,
baseline,ViT-B-16,0.6442333333333333,71397589,random,tpt,64.0,83.69666666666666,
baseline,swin_base_patch4_window7_224,0.6060333333333333,71397589,random,vanilla,8.0,75.18666666666667,
baseline,ViT-B-16,0.0067666666666666665,265017005,random,vanilla,1.0,3.2266666666666666,
baseline,densenet121,0.4002,71397589,random,tpt,4.0,55.58,
baseline,resnet18,0.35233333333333333,71397589,random,vanilla,2.0,51.453333333333326,
baseline,resnet18,0.38443333333333335,71397589,random,zero,32.0,49.43333333333334,
baseline,resnet18,0.36136666666666667,71397589,random,vanilla,4.0,52.72666666666667,
baseline,swin_base_patch4_window7_224,0.5909666666666666,71397589,random,tpt,16.0,70.60333333333332,
baseline,densenet121,0.3920666666666667,71397589,random,tpt,2.0,55.97,
baseline,densenet121,0.4124333333333333,71397589,random,vanilla,8.0,59.07,
baseline,swin_base_patch4_window7_224,0.6094666666666667,71397589,random,vanilla,64.0,75.88000000000001,
baseline,resnet18,0.33623333333333333,71397589,random,tpt,64.0,49.980000000000004,
baseline,swin_base_patch4_window7_224,0.6144666666666667,71397589,random,zero,64.0,72.48,
baseline,resnet18,0.35063333333333335,71397589,random,zero,2.0,36.67,
baseline,densenet121,0.4052,71397589,random,zero,8.0,46.08,
baseline,ViT-B-16,0.6442333333333333,71397589,random,vanilla,64.0,83.69666666666666,
baseline,resnet18,0.33623333333333333,71397589,random,vanilla,64.0,49.980000000000004,
baseline,resnet18,0.3752,71397589,random,vanilla,64.0,54.53333333333333,
baseline,vit_base_patch16_224,0.4671,265017005,random,vanilla,1.0,62.35000000000001,
baseline,dinov2_vitb14,0.004533333333333334,265017005,random,vanilla,1.0,2.07,
baseline,resnet18,0.3627,71397589,random,tpt,4.0,50.46666666666667,
baseline,densenet121,0.41896666666666665,71397589,random,vanilla,64.0,60.196666666666665,
baseline,resnet18,0.35063333333333335,71397589,random,tpt,2.0,50.28666666666667,
baseline,densenet121,0.40763333333333335,71397589,random,tpt,16.0,55.13,
baseline,densenet121,0.4233,71397589,random,zero,64.0,55.76,
baseline,resnet18,0.33623333333333333,71397589,random,zero,64.0,35.25333333333333,
baseline,vit_base_patch16_224,0.4671,71397589,random,vanilla,64.0,62.35000000000001,
baseline,resnet18,0.39086666666666664,71397589,random,tpt,64.0,54.773333333333326,
baseline,densenet121,0.38626666666666665,71397589,random,tpt,64.0,56.25333333333333,
baseline,resnet18,0.37943333333333334,71397589,random,zero,16.0,45.943333333333335,
baseline,resnet18,0.37396666666666667,71397589,random,vanilla,32.0,54.50000000000001,
baseline,vit_base_patch16_224,0.4671,71397589,random,tpt,64.0,62.35000000000001,
baseline,densenet121,0.3920666666666667,71397589,random,zero,2.0,40.64333333333333,
baseline,swin_base_patch4_window7_224,0.6083666666666666,71397589,random,zero,16.0,67.74,
baseline,swin_base_patch4_window7_224,0.5879333333333333,71397589,random,vanilla,64.0,74.12333333333333,
baseline,swin_base_patch4_window7_224,0.5879333333333333,265017005,random,vanilla,1.0,74.12333333333333,
baseline,densenet121,0.41636666666666666,71397589,random,vanilla,32.0,59.95,
baseline,dinov2_vitb14,0.6746666666666666,71397589,random,vanilla,64.0,81.45666666666666,
