classifier,arch_type,views,tta_seed,domain_metric,delta_metric,spearman_rho,p_value
swin_base_patch4_window7_224,ViT,2,71397589,edge_similarity,delta_accuracy,-0.11846238171217714,0.09478131712875311
swin_base_patch4_window7_224,ViT,2,71397589,edge_similarity,delta_confidence,-0.09468536713417837,0.1823158601901636
swin_base_patch4_window7_224,ViT,2,71397589,edge_similarity,delta_entropy,0.12527413185329633,0.07714309242505392
swin_base_patch4_window7_224,ViT,2,71397589,ldc_haus,delta_accuracy,0.07781339282914414,0.2734240436265526
swin_base_patch4_window7_224,ViT,2,71397589,ldc_haus,delta_confidence,0.049025725643141095,0.4905732529180342
swin_base_patch4_window7_224,ViT,2,71397589,ldc_haus,delta_entropy,-0.067467186679667,0.342502815518281
swin_base_patch4_window7_224,ViT,2,71397589,lpips,delta_accuracy,0.15786655440004357,0.025575675938312045
swin_base_patch4_window7_224,ViT,2,71397589,lpips,delta_confidence,0.1793474836870922,0.011050554537157812
swin_base_patch4_window7_224,ViT,2,71397589,lpips,delta_entropy,-0.1840936023400585,0.009067485062992148
swin_base_patch4_window7_224,ViT,2,71397589,depth_mae,delta_accuracy,0.049039305154493014,0.4904529819074982
swin_base_patch4_window7_224,ViT,2,71397589,depth_mae,delta_confidence,0.04429010725268133,0.5334577870096537
swin_base_patch4_window7_224,ViT,2,71397589,depth_mae,delta_entropy,-0.02643816095402385,0.7101806681961506
resnet18,CNN,8,71397589,edge_similarity,delta_accuracy,-0.23975635544803073,0.0006275361421427163
resnet18,CNN,8,71397589,edge_similarity,delta_confidence,-0.02845421135528389,0.6891844783278624
resnet18,CNN,8,71397589,edge_similarity,delta_entropy,0.10388659716492914,0.14321212714586984
resnet18,CNN,8,71397589,ldc_haus,delta_accuracy,-0.12344438210244901,0.08159744552288946
resnet18,CNN,8,71397589,ldc_haus,delta_confidence,-0.03907447686192155,0.5827702822877266
resnet18,CNN,8,71397589,ldc_haus,delta_entropy,0.05746343658591466,0.41895815273120907
resnet18,CNN,8,71397589,lpips,delta_accuracy,-0.07904461248723418,0.26588257399537185
resnet18,CNN,8,71397589,lpips,delta_confidence,0.014985374634365861,0.8331926467226485
resnet18,CNN,8,71397589,lpips,delta_entropy,-0.023006075151878802,0.7464237542559126
resnet18,CNN,8,71397589,depth_mae,delta_accuracy,0.046771738114290806,0.5107525825881944
resnet18,CNN,8,71397589,depth_mae,delta_confidence,-0.09048676216905424,0.20256748995672416
resnet18,CNN,8,71397589,depth_mae,delta_entropy,0.10796369909247733,0.1280796653517003
densenet121,CNN,16,71397589,edge_similarity,delta_accuracy,-0.13250764970608248,0.0614211352656011
densenet121,CNN,16,71397589,edge_similarity,delta_confidence,-0.1482097052426311,0.03622035429689991
densenet121,CNN,16,71397589,edge_similarity,delta_entropy,0.2352043801095028,0.0008005595654567955
densenet121,CNN,16,71397589,ldc_haus,delta_accuracy,0.14418105696077008,0.04165980558923846
densenet121,CNN,16,71397589,ldc_haus,delta_confidence,0.07592739818495464,0.2852551714003549
densenet121,CNN,16,71397589,ldc_haus,delta_entropy,-0.0827180679516988,0.2442317960278149
densenet121,CNN,16,71397589,lpips,delta_accuracy,0.05317843853659993,0.4545372789267986
densenet121,CNN,16,71397589,lpips,delta_confidence,0.20309007725193132,0.003923547372064897
densenet121,CNN,16,71397589,lpips,delta_entropy,-0.26751218780469516,0.0001283986956364769
densenet121,CNN,16,71397589,depth_mae,delta_accuracy,0.002572170252944595,0.9711643221582567
densenet121,CNN,16,71397589,depth_mae,delta_confidence,0.004996624915622892,0.9440181850567038
densenet121,CNN,16,71397589,depth_mae,delta_entropy,-0.04469811745293633,0.5296902926744638
swin_base_patch4_window7_224,ViT,4,71397589,edge_similarity,delta_accuracy,-0.08912452184656769,0.20947520787515922
swin_base_patch4_window7_224,ViT,4,71397589,edge_similarity,delta_confidence,-0.08507312682817073,0.23101546476819837
swin_base_patch4_window7_224,ViT,4,71397589,edge_similarity,delta_entropy,0.15110777769444236,0.03268987363056898
swin_base_patch4_window7_224,ViT,4,71397589,ldc_haus,delta_accuracy,0.03702036657039586,0.6027542301797618
swin_base_patch4_window7_224,ViT,4,71397589,ldc_haus,delta_confidence,0.08537163429085727,0.2293769953739022
swin_base_patch4_window7_224,ViT,4,71397589,ldc_haus,delta_entropy,-0.07896047401185032,0.26639336951493364
swin_base_patch4_window7_224,ViT,4,71397589,lpips,delta_accuracy,0.09073005817237523,0.20135131110675475
swin_base_patch4_window7_224,ViT,4,71397589,lpips,delta_confidence,0.16614565364134107,0.018708316556283782
swin_base_patch4_window7_224,ViT,4,71397589,lpips,delta_entropy,-0.16736968424210608,0.017842877675147372
swin_base_patch4_window7_224,ViT,4,71397589,depth_mae,delta_accuracy,0.08276089609166137,0.24398684031473525
swin_base_patch4_window7_224,ViT,4,71397589,depth_mae,delta_confidence,-0.005167629190729769,0.9421055509530418
swin_base_patch4_window7_224,ViT,4,71397589,depth_mae,delta_entropy,0.0015690392259806497,0.9824076772964458
resnet18,CNN,16,71397589,edge_similarity,delta_accuracy,-0.16165849260018772,0.022199937735566652
resnet18,CNN,16,71397589,edge_similarity,delta_confidence,-0.05221330533263332,0.4627779070058593
resnet18,CNN,16,71397589,edge_similarity,delta_entropy,0.112100802520063,0.11401685360571778
resnet18,CNN,16,71397589,ldc_haus,delta_accuracy,-0.05394817100553218,0.448024304089382
resnet18,CNN,16,71397589,ldc_haus,delta_confidence,-0.04436210905272633,0.5327919596309247
resnet18,CNN,16,71397589,ldc_haus,delta_entropy,0.050555763894097355,0.4771215311755286
resnet18,CNN,16,71397589,lpips,delta_accuracy,-0.0280170749746067,0.6937175798151531
resnet18,CNN,16,71397589,lpips,delta_confidence,0.11796294907372687,0.09619142595120875
resnet18,CNN,16,71397589,lpips,delta_entropy,-0.1170854271356784,0.09870934522557823
resnet18,CNN,16,71397589,depth_mae,delta_accuracy,0.010513903938719805,0.8825312716764044
resnet18,CNN,16,71397589,depth_mae,delta_confidence,-0.043645091127278185,0.5394410461357453
resnet18,CNN,16,71397589,depth_mae,delta_entropy,0.08588464711617792,0.22658033683515222
swin_base_patch4_window7_224,ViT,8,71397589,edge_similarity,delta_accuracy,-0.08002742827711444,0.2599655551571441
swin_base_patch4_window7_224,ViT,8,71397589,edge_similarity,delta_confidence,-0.07690992274806871,0.27904945064420134
swin_base_patch4_window7_224,ViT,8,71397589,edge_similarity,delta_entropy,0.1317287932198305,0.06297608902114053
swin_base_patch4_window7_224,ViT,8,71397589,ldc_haus,delta_accuracy,0.07071547579203015,0.3197140465669381
swin_base_patch4_window7_224,ViT,8,71397589,ldc_haus,delta_confidence,0.09581939548488713,0.17711070162542905
swin_base_patch4_window7_224,ViT,8,71397589,ldc_haus,delta_entropy,-0.07114977874446862,0.3167435145835025
swin_base_patch4_window7_224,ViT,8,71397589,lpips,delta_accuracy,0.10503684356332567,0.13881131106703185
swin_base_patch4_window7_224,ViT,8,71397589,lpips,delta_confidence,0.20223805595139882,0.0040802911267302415
swin_base_patch4_window7_224,ViT,8,71397589,lpips,delta_entropy,-0.18187954698867476,0.009949545949080808
swin_base_patch4_window7_224,ViT,8,71397589,depth_mae,delta_accuracy,0.021230771552434576,0.7653977982313449
swin_base_patch4_window7_224,ViT,8,71397589,depth_mae,delta_confidence,0.0347948698717468,0.6247442958554021
swin_base_patch4_window7_224,ViT,8,71397589,depth_mae,delta_entropy,-0.03284482112052802,0.6442899886983559
resnet18,CNN,2,71397589,edge_similarity,delta_accuracy,-0.22810864859627147,0.0011594964878238671
resnet18,CNN,2,71397589,edge_similarity,delta_confidence,-0.07967449186229657,0.2620799033066279
resnet18,CNN,2,71397589,edge_similarity,delta_entropy,0.11702692567314185,0.09887904590787876
resnet18,CNN,2,71397589,ldc_haus,delta_accuracy,-0.05310289734202295,0.4551792998939025
resnet18,CNN,2,71397589,ldc_haus,delta_confidence,-0.04709517737943449,0.5078307016171391
resnet18,CNN,2,71397589,ldc_haus,delta_entropy,0.04688217205430136,0.5097539667018395
resnet18,CNN,2,71397589,lpips,delta_accuracy,-0.08057237521188634,0.25672399112814864
resnet18,CNN,2,71397589,lpips,delta_confidence,0.010807770194254857,0.8792726325805937
resnet18,CNN,2,71397589,lpips,delta_entropy,-0.011136278406960175,0.8756322573235442
resnet18,CNN,2,71397589,depth_mae,delta_accuracy,0.04236161751394941,0.5514450832482671
resnet18,CNN,2,71397589,depth_mae,delta_confidence,-0.04123603090077253,0.5620785619888681
resnet18,CNN,2,71397589,depth_mae,delta_entropy,0.07377184429610742,0.2991921466001289
resnet18,CNN,4,71397589,edge_similarity,delta_accuracy,-0.22891095958817906,0.0011125529168760453
resnet18,CNN,4,71397589,edge_similarity,delta_confidence,-0.016878421960549013,0.8124879299496108
resnet18,CNN,4,71397589,edge_similarity,delta_entropy,0.08588614715367884,0.22657219502246415
resnet18,CNN,4,71397589,ldc_haus,delta_accuracy,-0.08160916952133725,0.25063387222159056
resnet18,CNN,4,71397589,ldc_haus,delta_confidence,-0.06251556288907224,0.3791722173328499
resnet18,CNN,4,71397589,ldc_haus,delta_entropy,0.07046576164404111,0.32143019564247005
resnet18,CNN,4,71397589,lpips,delta_accuracy,-0.07002606324568887,0.32446648554124813
resnet18,CNN,4,71397589,lpips,delta_confidence,0.009123228080702019,0.8979781329458738
resnet18,CNN,4,71397589,lpips,delta_entropy,-0.0027240681017025427,0.9694622522711376
resnet18,CNN,4,71397589,depth_mae,delta_accuracy,-0.014860947542460173,0.8345577321028135
resnet18,CNN,4,71397589,depth_mae,delta_confidence,-0.07778444461111529,0.2736030862641676
resnet18,CNN,4,71397589,depth_mae,delta_entropy,0.10777169429235732,0.12876344894616074
swin_base_patch4_window7_224,ViT,32,71397589,edge_similarity,delta_accuracy,0.2833333333333333,0.46003032896571994
swin_base_patch4_window7_224,ViT,32,71397589,edge_similarity,delta_confidence,0.6333333333333333,0.06708578689234565
swin_base_patch4_window7_224,ViT,32,71397589,edge_similarity,delta_entropy,-0.6166666666666666,0.07692880993776309
swin_base_patch4_window7_224,ViT,32,71397589,ldc_haus,delta_accuracy,0.09999999999999999,0.797971695234851
swin_base_patch4_window7_224,ViT,32,71397589,ldc_haus,delta_confidence,0.3666666666666667,0.33173980143301507
swin_base_patch4_window7_224,ViT,32,71397589,ldc_haus,delta_entropy,-0.33333333333333337,0.38071318167686347
swin_base_patch4_window7_224,ViT,32,71397589,lpips,delta_accuracy,0.15,0.7000942309691419
swin_base_patch4_window7_224,ViT,32,71397589,lpips,delta_confidence,-0.21666666666666667,0.5755148957119259
swin_base_patch4_window7_224,ViT,32,71397589,lpips,delta_entropy,0.33333333333333337,0.38071318167686347
swin_base_patch4_window7_224,ViT,32,71397589,depth_mae,delta_accuracy,0.6333333333333333,0.06708578689234565
swin_base_patch4_window7_224,ViT,32,71397589,depth_mae,delta_confidence,0.25,0.5164895523012263
swin_base_patch4_window7_224,ViT,32,71397589,depth_mae,delta_entropy,-0.13333333333333333,0.7323675052362975
densenet121,CNN,64,71397589,edge_similarity,delta_accuracy,-0.19539772576125694,0.005557642167753125
densenet121,CNN,64,71397589,edge_similarity,delta_confidence,-0.2739578489462237,8.657482694400458e-05
densenet121,CNN,64,71397589,edge_similarity,delta_entropy,0.3230915772894323,3.066340627178794e-06
densenet121,CNN,64,71397589,ldc_haus,delta_accuracy,0.08322004006786872,0.24137151986023728
densenet121,CNN,64,71397589,ldc_haus,delta_confidence,0.06781969549238732,0.3399810518943257
densenet121,CNN,64,71397589,ldc_haus,delta_entropy,-0.07176929423235583,0.31253737082515526
densenet121,CNN,64,71397589,lpips,delta_accuracy,0.01761791380749631,0.8044342909261347
densenet121,CNN,64,71397589,lpips,delta_confidence,0.17990549763744096,0.010799089382675134
densenet121,CNN,64,71397589,lpips,delta_entropy,-0.22718067951698798,0.0012160542555961057
densenet121,CNN,64,71397589,depth_mae,delta_accuracy,0.03638195211677456,0.609026993296411
densenet121,CNN,64,71397589,depth_mae,delta_confidence,0.07342233555838898,0.3014937130721452
densenet121,CNN,64,71397589,depth_mae,delta_entropy,-0.0881107027675692,0.21472489664247935
resnet18,CNN,64,71397589,edge_similarity,delta_accuracy,-0.21615582425441773,0.0021108888933910478
resnet18,CNN,64,71397589,edge_similarity,delta_confidence,-0.07811745293632341,0.2715482564276249
resnet18,CNN,64,71397589,edge_similarity,delta_entropy,0.146459161479037,0.0385052783349323
resnet18,CNN,64,71397589,ldc_haus,delta_accuracy,-0.10133337994719091,0.15335932197621902
resnet18,CNN,64,71397589,ldc_haus,delta_confidence,0.00031350783769594243,0.9964846277866517
resnet18,CNN,64,71397589,ldc_haus,delta_entropy,0.032268806720168006,0.6501112965830365
resnet18,CNN,64,71397589,lpips,delta_accuracy,-0.036219371722665566,0.6106290259394673
resnet18,CNN,64,71397589,lpips,delta_confidence,0.058379959498987485,0.41156485615595484
resnet18,CNN,64,71397589,lpips,delta_entropy,-0.047267681692042304,0.5062759020710986
resnet18,CNN,64,71397589,depth_mae,delta_accuracy,0.07412947085830568,0.29684919785246505
resnet18,CNN,64,71397589,depth_mae,delta_confidence,-0.06524863121578041,0.35864517345196145
resnet18,CNN,64,71397589,depth_mae,delta_entropy,0.10219155478886974,0.14988986407421115
swin_base_patch4_window7_224,ViT,16,71397589,edge_similarity,delta_accuracy,-0.1451849273230631,0.04024393825790292
swin_base_patch4_window7_224,ViT,16,71397589,edge_similarity,delta_confidence,-0.060202505062626574,0.39709331518330404
swin_base_patch4_window7_224,ViT,16,71397589,edge_similarity,delta_entropy,0.10702167554188857,0.13146148036948807
swin_base_patch4_window7_224,ViT,16,71397589,ldc_haus,delta_accuracy,0.06068155501245922,0.39334069012369166
swin_base_patch4_window7_224,ViT,16,71397589,ldc_haus,delta_confidence,0.08038400960024002,0.2578413014656005
swin_base_patch4_window7_224,ViT,16,71397589,ldc_haus,delta_entropy,-0.09185029625740646,0.19581967751411625
swin_base_patch4_window7_224,ViT,16,71397589,lpips,delta_accuracy,0.17265114951654253,0.014495712662397305
swin_base_patch4_window7_224,ViT,16,71397589,lpips,delta_confidence,0.22130353258831476,0.0016370234018799467
swin_base_patch4_window7_224,ViT,16,71397589,lpips,delta_entropy,-0.21052576314407861,0.002769474846902159
swin_base_patch4_window7_224,ViT,16,71397589,depth_mae,delta_accuracy,0.13588295337052753,0.05504283395276169
swin_base_patch4_window7_224,ViT,16,71397589,depth_mae,delta_confidence,0.013164329108227707,0.8532189871981326
swin_base_patch4_window7_224,ViT,16,71397589,depth_mae,delta_entropy,-0.013420835520888024,0.85039214575703
densenet121,CNN,8,71397589,edge_similarity,delta_accuracy,-0.1269067207085932,0.07333665722687638
densenet121,CNN,8,71397589,edge_similarity,delta_confidence,-0.26283657091427287,0.0001698464697269759
densenet121,CNN,8,71397589,edge_similarity,delta_entropy,0.3197284932123304,3.930571677929491e-06
densenet121,CNN,8,71397589,ldc_haus,delta_accuracy,0.06200636015602485,0.3830744227367089
densenet121,CNN,8,71397589,ldc_haus,delta_confidence,0.019672991824795625,0.7821632934509677
densenet121,CNN,8,71397589,ldc_haus,delta_entropy,-0.05255381384534614,0.45986113170930054
densenet121,CNN,8,71397589,lpips,delta_accuracy,0.038729020348245546,0.5861096119863565
densenet121,CNN,8,71397589,lpips,delta_confidence,0.182785569639241,0.009579817257776325
densenet121,CNN,8,71397589,lpips,delta_entropy,-0.2236765919147979,0.0014531790880333898
densenet121,CNN,8,71397589,depth_mae,delta_accuracy,-0.013011744002820241,0.8549014489897215
densenet121,CNN,8,71397589,depth_mae,delta_confidence,0.059083477086927176,0.40594228649433517
densenet121,CNN,8,71397589,depth_mae,delta_entropy,-0.0704177604440111,0.321760764502587
densenet121,CNN,4,71397589,edge_similarity,delta_accuracy,-0.059809442938394845,0.40018830458175836
densenet121,CNN,4,71397589,edge_similarity,delta_confidence,-0.23287332183304585,0.0009052658016396541
densenet121,CNN,4,71397589,edge_similarity,delta_entropy,0.2685562139053477,0.0001205386297838685
densenet121,CNN,4,71397589,ldc_haus,delta_accuracy,0.08209451269066503,0.2478176430324729
densenet121,CNN,4,71397589,ldc_haus,delta_confidence,0.0924923123078077,0.1926997203304072
densenet121,CNN,4,71397589,ldc_haus,delta_entropy,-0.0849201230030751,0.23185847488745007
densenet121,CNN,4,71397589,lpips,delta_accuracy,-0.016293991445507357,0.8188668306998461
densenet121,CNN,4,71397589,lpips,delta_confidence,0.10850671266781672,0.12616100377730638
densenet121,CNN,4,71397589,lpips,delta_entropy,-0.16342308557713944,0.020764911595953152
densenet121,CNN,4,71397589,depth_mae,delta_accuracy,-0.07075492756324249,0.3194434611724403
densenet121,CNN,4,71397589,depth_mae,delta_confidence,0.029688742218555466,0.6764425198513918
densenet121,CNN,4,71397589,depth_mae,delta_entropy,-0.030537763444086104,0.6677323081680839
densenet121,CNN,32,71397589,edge_similarity,delta_accuracy,-0.16543288713726273,0.019228876534871972
densenet121,CNN,32,71397589,edge_similarity,delta_confidence,-0.2575054376359409,0.0002322082681434467
densenet121,CNN,32,71397589,edge_similarity,delta_entropy,0.3132753318832971,6.277137501019557e-06
densenet121,CNN,32,71397589,ldc_haus,delta_accuracy,0.0769514627164038,0.27878910347486713
densenet121,CNN,32,71397589,ldc_haus,delta_confidence,0.10422560564014101,0.14190418886775177
densenet121,CNN,32,71397589,ldc_haus,delta_entropy,-0.08870021750543766,0.21166097621842736
densenet121,CNN,32,71397589,lpips,delta_accuracy,0.002366929134069998,0.9734643281425073
densenet121,CNN,32,71397589,lpips,delta_confidence,0.235990399759994,0.0007678482577476697
densenet121,CNN,32,71397589,lpips,delta_entropy,-0.25860796519913,0.0002177829829756725
densenet121,CNN,32,71397589,depth_mae,delta_accuracy,0.0047548709554430905,0.9467226782338994
densenet121,CNN,32,71397589,depth_mae,delta_confidence,0.09856296407410187,0.1649735454398311
densenet121,CNN,32,71397589,depth_mae,delta_entropy,-0.08256356408910223,0.2451169055063924
resnet18,CNN,32,71397589,edge_similarity,delta_accuracy,-0.18501653182199795,0.008720747708639311
resnet18,CNN,32,71397589,edge_similarity,delta_confidence,-0.05206030150753769,0.4640918548777129
resnet18,CNN,32,71397589,edge_similarity,delta_entropy,0.11411535288382212,0.10762080398363229
resnet18,CNN,32,71397589,ldc_haus,delta_accuracy,-0.07135977980224854,0.3153136217160584
resnet18,CNN,32,71397589,ldc_haus,delta_confidence,0.027365184129603242,0.7004978933498596
resnet18,CNN,32,71397589,ldc_haus,delta_entropy,0.01642241056026401,0.8174641348636542
resnet18,CNN,32,71397589,lpips,delta_accuracy,-0.027331655239905554,0.7008472739321426
resnet18,CNN,32,71397589,lpips,delta_confidence,0.07213680342008551,0.31005953627610294
resnet18,CNN,32,71397589,lpips,delta_entropy,-0.058949973749343736,0.4070057419240296
resnet18,CNN,32,71397589,depth_mae,delta_accuracy,0.05762832140665725,0.41762238920093375
resnet18,CNN,32,71397589,depth_mae,delta_confidence,-0.07398184954623867,0.2978148416909432
resnet18,CNN,32,71397589,depth_mae,delta_entropy,0.10999624990624766,0.12101193450210493
densenet121,CNN,2,71397589,edge_similarity,delta_accuracy,-0.08674025609085663,0.22196989757161814
densenet121,CNN,2,71397589,edge_similarity,delta_confidence,-0.24999774994374863,0.00035670738819197265
densenet121,CNN,2,71397589,edge_similarity,delta_entropy,0.3046681167029176,1.1524972147143759e-05
densenet121,CNN,2,71397589,ldc_haus,delta_accuracy,0.02362539446821633,0.7398396857418252
densenet121,CNN,2,71397589,ldc_haus,delta_confidence,-0.013903847596189907,0.8450742923118931
densenet121,CNN,2,71397589,ldc_haus,delta_entropy,0.013365334133353335,0.8510036410387178
densenet121,CNN,2,71397589,lpips,delta_accuracy,0.00432151717515112,0.9515720968427787
densenet121,CNN,2,71397589,lpips,delta_confidence,0.025304132603315085,0.7220889207460717
densenet121,CNN,2,71397589,lpips,delta_entropy,-0.08141453536338411,0.25176945212911267
densenet121,CNN,2,71397589,depth_mae,delta_accuracy,-0.050971240777793886,0.47350366232785224
densenet121,CNN,2,71397589,depth_mae,delta_confidence,0.06194554863871598,0.3835420699087637
densenet121,CNN,2,71397589,depth_mae,delta_entropy,-0.046786169654241365,0.5106220255593071
